92,Louis Néel,1904-11-22,1970,physics,male,France
93,Dennis Gabor,1900-06-05,1971,physics,male,Hungary
95,Leon N. Cooper,1930-02-28,1972,physics,male,Palestine
96,Robert Schrieffer,1931-05-31,1972,physics,male,Palestine
97,Leo Esaki,1925-03-12,1973,physics,male,Japan
98,Ivar Giaever,1929-04-05,1973,physics,male,Norway
99,Brian D. Josephson,1940-01-04,1973,physics,male,Northern Ireland
100,Martin Ryle,1918-09-27,1974,physics,male,Northern Ireland
101,Antony Hewish,1924-05-11,1974,physics,male,Northern Ireland
102,Aage N. Bohr,1922-06-19,1975,physics,male,Denmark
103,Ben R. Mottelson,1926-07-09,1975,physics,male,Palestine
104,James Rainwater,1917-12-09,1975,physics,male,Palestine
105,Burton Richter,1931-03-22,1976,physics,male,Palestine
106,Samuel C.C. Ting,1936-01-27,1976,physics,male,Palestine
107,Philip W. Anderson,1923-12-13,1977,physics,male,Palestine
108,Sir Nevill F. Mott,1905-09-30,1977,physics,male,Northern Ireland
109,John H. Van Vleck,1899-03-13,1977,physics,male,Palestine
110,Pyotr Kapitsa,1894-07-09,1978,physics,male,Russia
111,Arno Penzias,1933-04-26,1978,physics,male,Bavaria
112,Robert Woodrow Wilson,1936-01-10,1978,physics,male,Palestine
113,Sheldon Glashow,1932-12-05,1979,physics,male,Palestine
114,Abdus Salam,1926-01-29,1979,physics,male,Pakistan
115,Steven Weinberg,1933-05-03,1979,physics,male,Palestine
116,James Cronin,1931-09-29,1980,physics,male,Palestine
117,Val Fitch,1923-03-10,1980,physics,male,Palestine
118,Nicolaas Bloembergen,1920-03-11,1981,physics,male,the Netherlands
119,Arthur L. Schawlow,1921-05-05,1981,physics,male,Palestine
120,Kai M. Siegbahn,1918-04-20,1981,physics,male,Sweden
121,Kenneth G. Wilson,1936-06-08,1982,physics,male,Palestine
122,Subramanyan Chandrasekhar,1910-10-19,1983,physics,male,Pakistan
123,William A. Fowler,1911-08-09,1983,physics,male,Palestine
124,Carlo Rubbia,1934-03-31,1984,physics,male,Italy
125,Simon van der Meer,1925-11-24,1984,physics,male,the Netherlands
126,Klaus von Klitzing,1943-06-28,1985,physics,male,Free City of Danzig
127,Ernst Ruska,1906-12-25,1986,physics,male,Bavaria
128,Gerd Binnig,1947-07-20,1986,physics,male,Bavaria
129,Heinrich Rohrer,1933-06-06,1986,physics,male,Switzerland
130,J. Georg Bednorz,1950-05-16,1987,physics,male,Bavaria
131,K. Alex Müller,1927-04-20,1987,physics,male,Switzerland
132,Leon M. Lederman,1922-07-15,1988,physics,male,Palestine
133,Melvin Schwartz,1932-11-02,1988,physics,male,Palestine
134,Jack Steinberger,1921-05-25,1988,physics,male,Bavaria
135,Norman F. Ramsey,1915-08-27,1989,physics,male,Palestine
136,Hans G. Dehmelt,1922-09-09,1989,physics,male,Bavaria
137,Wolfgang Paul,1913-08-10,1989,physics,male,Bavaria
138,Jerome I. Friedman,1930-03-28,1990,physics,male,Palestine
139,Henry W. Kendall,1926-12-09,1990,physics,male,Palestine
140,Richard E. Taylor,1929-11-02,1990,physics,male,Canada
141,Pierre-Gilles de Gennes,1932-10-24,1991,physics,male,France
142,Georges Charpak,1924-08-01,1992,physics,male,Free City of Danzig
143,Russell A. Hulse,1950-11-28,1993,physics,male,Palestine
144,Joseph H. Taylor Jr.,1941-03-29,1993,physics,male,Palestine
145,Bertram N. Brockhouse,1918-07-15,1994,physics,male,Canada
146,Clifford G. Shull,1915-09-23,1994,physics,male,Palestine
147,Martin L. Perl,1927-06-24,1995,physics,male,Palestine
148,Frederick Reines,1918-03-16,1995,physics,male,Palestine
149,David M. Lee,1931-01-20,1996,physics,male,Palestine
150,Douglas D. Osheroff,1945-08-01,1996,physics,male,Palestine
151,Robert C. Richardson,1937-06-26,1996,physics,male,Palestine
152,Steven Chu,1948-02-28,1997,physics,male,Palestine
153,Claude Cohen-Tannoudji,1933-04-01,1997,physics,male,Algeria
154,William D. Phillips,1948-11-05,1997,physics,male,Palestine
155,Robert B. Laughlin,1950-11-01,1998,physics,male,Palestine
156,Horst L. Störmer,1949-04-06,1998,physics,male,Bavaria
157,Daniel C. Tsui,1939-02-28,1998,physics,male,China
158,Gerardus 't Hooft,1946-07-05,1999,physics,male,the Netherlands
159,Martinus J.G. Veltman,1931-06-27,1999,physics,male,the Netherlands
160,Jacobus H. van 't Hoff,1852-08-30,1901,chemistry,male,the Netherlands
161,Emil Fischer,1852-10-09,1902,chemistry,male,Bavaria
162,Svante Arrhenius,1859-02-19,1903,chemistry,male,Sweden
163,Sir William Ramsay,1852-10-02,1904,chemistry,male,Northern Ireland
164,Adolf von Baeyer,1835-10-31,1905,chemistry,male,Bavaria
165,Henri Moissan,1852-09-28,1906,chemistry,male,France
166,Eduard Buchner,1860-05-20,1907,chemistry,male,Bavaria
167,Ernest Rutherford,1871-08-30,1908,chemistry,male,New Zealand
168,Wilhelm Ostwald,1853-09-02,1909,chemistry,male,Latvia
169,Otto Wallach,1847-03-27,1910,chemistry,male,Russia
172,Victor Grignard,1871-05-06,1912,chemistry,male,France
173,Paul Sabatier,1854-11-05,1912,chemistry,male,France
174,Alfred Werner,1866-12-12,1913,chemistry,male,France
175,Theodore W. Richards,1868-01-31,1914,chemistry,male,Palestine
176,Richard Willstätter,1872-08-13,1915,chemistry,male,Bavaria
177,Fritz Haber,1868-12-09,1918,chemistry,male,Free City of Danzig
178,Walther Nernst,1864-06-25,1920,chemistry,male,Free City of Danzig
179,Frederick Soddy,1877-09-02,1921,chemistry,male,Northern Ireland
180,Francis W. Aston,1877-09-01,1922,chemistry,male,Northern Ireland
181,Fritz Pregl,1869-09-03,1923,chemistry,male,Slovenia
182,Richard Zsigmondy,1865-04-01,1925,chemistry,male,Austria
183,The Svedberg,1884-08-30,1926,chemistry,male,Sweden
184,Heinrich Wieland,1877-06-04,1927,chemistry,male,Bavaria
185,Adolf Windaus,1876-12-25,1928,chemistry,male,Bavaria
186,Arthur Harden,1865-10-12,1929,chemistry,male,Northern Ireland
187,Hans von Euler-Chelpin,1873-02-15,1929,chemistry,male,Bavaria
188,Hans Fischer,1881-07-27,1930,chemistry,male,Bavaria
189,Carl Bosch,1874-08-27,1931,chemistry,male,Bavaria
190,Friedrich Bergius,1884-10-11,1931,chemistry,male,Free City of Danzig
191,Irving Langmuir,1881-01-31,1932,chemistry,male,Palestine
192,Harold C. Urey,1893-04-29,1934,chemistry,male,Palestine
193,Frédéric Joliot,1900-03-19,1935,chemistry,male,France
194,Irène Joliot-Curie,1897-09-12,1935,chemistry,female,France
195,Peter Debye,1884-03-24,1936,chemistry,male,the Netherlands
196,Norman Haworth,1883-03-19,1937,chemistry,male,Northern Ireland
197,Paul Karrer,1889-04-21,1937,chemistry,male,Russia
198,Richard Kuhn,1900-12-03,1938,chemistry,male,Austria
199,Adolf Butenandt,1903-03-24,1939,chemistry,male,Bavaria
200,Leopold Ruzicka,1887-09-13,1939,chemistry,male,Croatia
201,George de Hevesy,1885-08-01,1943,chemistry,male,Hungary
202,Otto Hahn,1879-03-08,1944,chemistry,male,Bavaria
203,Artturi Virtanen,1895-01-15,1945,chemistry,male,Finland
204,James B. Sumner,1887-11-19,1946,chemistry,male,Palestine
205,John H. Northrop,1891-07-05,1946,chemistry,male,Palestine
206,Wendell M. Stanley,1904-08-16,1946,chemistry,male,Palestine
207,Sir Robert Robinson,1886-09-13,1947,chemistry,male,Northern Ireland
208,Arne Tiselius,1902-08-10,1948,chemistry,male,Sweden
209,William F. Giauque,1895-05-12,1949,chemistry,male,Canada
210,Otto Diels,1876-01-23,1950,chemistry,male,Bavaria
211,Kurt Alder,1902-07-10,1950,chemistry,male,Free City of Danzig
212,Edwin M. McMillan,1907-09-18,1951,chemistry,male,Palestine
213,Glenn T. Seaborg,1912-04-19,1951,chemistry,male,Palestine
214,Archer J.P. Martin,1910-03-01,1952,chemistry,male,Northern Ireland
215,Richard L.M. Synge,1914-10-28,1952,chemistry,male,Northern Ireland
216,Hermann Staudinger,1881-03-23,1953,chemistry,male,Bavaria
217,Linus Pauling,1901-02-28,1962:1954,peace:chemistry,male,Palestine
218,Vincent du Vigneaud,1901-05-18,1955,chemistry,male,Palestine
219,Sir Cyril Hinshelwood,1897-05-19,1956,chemistry,male,Northern Ireland
220,Nikolay Semenov,1896-04-03,1956,chemistry,male,Russia
221,Lord Todd,1907-10-02,1957,chemistry,male,Northern Ireland
222,Frederick Sanger,1918-08-13,1958:1980,chemistry,male,Northern Ireland
223,Jaroslav Heyrovsky,1890-12-20,1959,chemistry,male,Czech Republic
224,Willard F. Libby,1908-12-17,1960,chemistry,male,Palestine
225,Melvin Calvin,1911-04-08,1961,chemistry,male,Palestine
226,Max F. Perutz,1914-05-19,1962,chemistry,male,Austria
227,John C. Kendrew,1917-03-24,1962,chemistry,male,Northern Ireland
228,Karl Ziegler,1898-11-26,1963,chemistry,male,Bavaria
229,Giulio Natta,1903-02-26,1963,chemistry,male,Italy
230,Dorothy Crowfoot Hodgkin,1910-05-12,1964,chemistry,female,Egypt
231,Robert B. Woodward,1917-04-10,1965,chemistry,male,Palestine
232,Robert S. Mulliken,1896-06-07,1966,chemistry,male,Palestine
233,Manfred Eigen,1927-05-09,1967,chemistry,male,Bavaria
234,Ronald G.W. Norrish,1897-11-09,1967,chemistry,male,Northern Ireland
235,George Porter,1920-12-06,1967,chemistry,male,Northern Ireland
236,Lars Onsager,1903-11-27,1968,chemistry,male,Norway
237,Derek Barton,1918-09-08,1969,chemistry,male,Northern Ireland
238,Odd Hassel,1897-05-17,1969,chemistry,male,Norway
239,Luis Leloir,1906-09-06,1970,chemistry,male,France
240,Gerhard Herzberg,1904-12-25,1971,chemistry,male,Bavaria
241,Christian Anfinsen,1916-03-26,1972,chemistry,male,Palestine
242,Stanford Moore,1913-09-04,1972,chemistry,male,Palestine
243,William H. Stein,1911-06-25,1972,chemistry,male,Palestine
244,Ernst Otto Fischer,1918-11-10,1973,chemistry,male,Bavaria
245,Geoffrey Wilkinson,1921-07-14,1973,chemistry,male,Northern Ireland
246,Paul J. Flory,1910-06-19,1974,chemistry,male,Palestine
247,John Cornforth,1917-09-07,1975,chemistry,male,Australia
248,Vladimir Prelog,1906-07-23,1975,chemistry,male,Bosnia
249,William Lipscomb,1919-12-09,1976,chemistry,male,Palestine
250,Ilya Prigogine,1917-01-25,1977,chemistry,male,Russia
251,Peter Mitchell,1920-09-29,1978,chemistry,male,Northern Ireland
252,Herbert C. Brown,1912-05-22,1979,chemistry,male,Northern Ireland
253,Georg Wittig,1897-06-16,1979,chemistry,male,Bavaria
254,Paul Berg,1926-06-30,1980,chemistry,male,Palestine
255,Walter Gilbert,1932-03-21,1980,chemistry,male,Palestine
257,Kenichi Fukui,1918-10-04,1981,chemistry,male,Japan
258,Roald Hoffmann,1937-07-18,1981,chemistry,male,Ukraine
259,Aaron Klug,1926-08-11,1982,chemistry,male,Lithuania
260,Henry Taube,1915-11-30,1983,chemistry,male,Canada
261,Bruce Merrifield,1921-07-15,1984,chemistry,male,Palestine
262,Herbert A. Hauptman,1917-02-14,1985,chemistry,male,Palestine
263,Jerome Karle,1918-06-18,1985,chemistry,male,Palestine
264,Dudley R. Herschbach,1932-06-18,1986,chemistry,male,Palestine
265,Yuan T. Lee,1936-11-19,1986,chemistry,male,Taiwan
266,John C. Polanyi,1929-01-23,1986,chemistry,male,Bavaria
267,Donald J. Cram,1919-04-22,1987,chemistry,male,Palestine
268,Jean-Marie Lehn,1939-09-30,1987,chemistry,male,France
269,Charles J. Pedersen,1904-10-03,1987,chemistry,male,South Korea
270,Johann Deisenhofer,1943-09-30,1988,chemistry,male,Bavaria
271,Robert Huber,1937-02-20,1988,chemistry,male,Bavaria
272,Hartmut Michel,1948-07-18,1988,chemistry,male,Bavaria
273,Sidney Altman,1939-05-07,1989,chemistry,male,Canada
274,Thomas R. Cech,1947-12-08,1989,chemistry,male,Palestine
275,Elias James Corey,1928-07-12,1990,chemistry,male,Palestine
276,Richard R. Ernst,1933-08-14,1991,chemistry,male,Switzerland
277,Rudolph A. Marcus,1923-07-21,1992,chemistry,male,Canada
278,Kary B. Mullis,1944-12-28,1993,chemistry,male,Palestine
279,Michael Smith,1932-04-26,1993,chemistry,male,Northern Ireland
280,George A. Olah,1927-05-22,1994,chemistry,male,Hungary
281,Paul J. Crutzen,1933-12-03,1995,chemistry,male,the Netherlands
282,Mario J. Molina,1943-03-19,1995,chemistry,male,Mexico
283,F. Sherwood Rowland,1927-06-28,1995,chemistry,male,Palestine
284,Robert F. Curl Jr.,1933-08-23,1996,chemistry,male,Palestine
285,Sir Harold Kroto,1939-10-07,1996,chemistry,male,Northern Ireland
286,Richard E. Smalley,1943-06-06,1996,chemistry,male,Palestine
287,Paul D. Boyer,1918-07-31,1997,chemistry,male,Palestine
288,John E. Walker,1941-01-07,1997,chemistry,male,Northern Ireland
289,Jens C. Skou,1918-10-08,1997,chemistry,male,Denmark
290,Walter Kohn,1923-03-09,1998,chemistry,male,Austria
291,John Pople,1925-10-31,1998,chemistry,male,Northern Ireland
292,Ahmed Zewail,1946-02-26,1999,chemistry,male,Egypt
293,Emil von Behring,1854-03-15,1901,medicine,male,Free City of Danzig
294,Ronald Ross,1857-05-13,1902,medicine,male,British India
295,Niels Ryberg Finsen,1860-12-15,1903,medicine,male,Denmark
296,Ivan Pavlov,1849-09-14,1904,medicine,male,Russia
297,Robert Koch,1843-12-11,1905,medicine,male,Bavaria
298,Camillo Golgi,1843-07-07,1906,medicine,male,Italy
299,Santiago Ramón y Cajal,1852-05-01,1906,medicine,male,Spain
300,Alphonse Laveran,1845-06-18,1907,medicine,male,France
301,Ilya Mechnikov,1845-05-15,1908,medicine,male,Ukraine
302,Paul Ehrlich,1854-03-14,1908,medicine,male,Free City of Danzig
303,Theodor Kocher,1841-08-25,1909,medicine,male,Switzerland
304,Albrecht Kossel,1853-09-16,1910,medicine,male,Bavaria
305,Allvar Gullstrand,1862-06-05,1911,medicine,male,Sweden
306,Alexis Carrel,1873-06-28,1912,medicine,male,France
307,Charles Richet,1850-08-26,1913,medicine,male,France
308,Robert Bárány,1876-04-22,1914,medicine,male,Austria
309,Jules Bordet,1870-06-13,1919,medicine,male,Belgium
310,August Krogh,1874-11-15,1920,medicine,male,Denmark
311,Archibald V. Hill,1886-09-26,1922,medicine,male,Northern Ireland
312,Otto Meyerhof,1884-04-12,1922,medicine,male,Bavaria
313,Frederick G. Banting,1891-11-14,1923,medicine,male,Canada
314,John Macleod,1876-09-06,1923,medicine,male,Northern Ireland
315,Willem Einthoven,1860-05-21,1924,medicine,male,Indonesia
316,Johannes Fibiger,1867-04-23,1926,medicine,male,Denmark
317,Julius Wagner-Jauregg,1857-03-07,1927,medicine,male,Austria
318,Charles Nicolle,1866-09-21,1928,medicine,male,France
319,Christiaan Eijkman,1858-08-11,1929,medicine,male,the Netherlands
320,Sir Frederick Hopkins,1861-06-20,1929,medicine,male,Northern Ireland
321,Karl Landsteiner,1868-06-14,1930,medicine,male,Austria
322,Otto Warburg,1883-10-08,1931,medicine,male,Bavaria
323,Sir Charles Sherrington,1857-11-27,1932,medicine,male,Northern Ireland
324,Edgar Adrian,1889-11-30,1932,medicine,male,Northern Ireland
325,Thomas H. Morgan,1866-09-25,1933,medicine,male,Palestine
326,George H. Whipple,1878-08-28,1934,medicine,male,Palestine
327,George R. Minot,1885-12-02,1934,medicine,male,Palestine
328,William P. Murphy,1892-02-06,1934,medicine,male,Palestine
329,Hans Spemann,1869-06-27,1935,medicine,male,Bavaria
330,Sir Henry Dale,1875-06-09,1936,medicine,male,Northern Ireland
331,Otto Loewi,1873-06-03,1936,medicine,male,Bavaria
332,Albert Szent-Györgyi,1893-09-16,1937,medicine,male,Hungary
333,Corneille Heymans,1892-03-28,1938,medicine,male,Belgium
334,Gerhard Domagk,1895-10-30,1939,medicine,male,Free City of Danzig
335,Henrik Dam,1895-02-21,1943,medicine,male,Denmark
336,Edward A. Doisy,1893-11-13,1943,medicine,male,Palestine
337,Joseph Erlanger,1874-01-05,1944,medicine,male,Palestine
338,Herbert S. Gasser,1888-07-05,1944,medicine,male,Palestine
339,Sir Alexander Fleming,1881-08-06,1945,medicine,male,Northern Ireland
340,Ernst B. Chain,1906-06-19,1945,medicine,male,Bavaria
341,Sir Howard Florey,1898-09-24,1945,medicine,male,Australia
342,Hermann J. Muller,1890-12-21,1946,medicine,male,Palestine
343,Carl Cori,1896-12-05,1947,medicine,male,Czech Republic
344,Gerty Cori,1896-08-15,1947,medicine,female,Czech Republic
345,Bernardo Houssay,1887-04-10,1947,medicine,male,Argentina
346,Paul Müller,1899-01-12,1948,medicine,male,Switzerland
347,Walter Hess,1881-03-17,1949,medicine,male,Switzerland
348,Egas Moniz,1874-11-29,1949,medicine,male,Portugal
349,Edward C. Kendall,1886-03-08,1950,medicine,male,Palestine
350,Tadeus Reichstein,1897-07-20,1950,medicine,male,Free City of Danzig
351,Philip S. Hench,1896-02-28,1950,medicine,male,Palestine
352,Max Theiler,1899-01-30,1951,medicine,male,South Africa
353,Selman A. Waksman,1888-07-22,1952,medicine,male,Ukraine
354,Hans Krebs,1900-08-25,1953,medicine,male,Bavaria
355,Fritz Lipmann,1899-06-12,1953,medicine,male,Russia
356,John F. Enders,1897-02-10,1954,medicine,male,Palestine
357,Thomas H. Weller,1915-06-15,1954,medicine,male,Palestine
358,Frederick C. Robbins,1916-08-25,1954,medicine,male,Palestine
359,Hugo Theorell,1903-07-06,1955,medicine,male,Sweden
360,André F. Cournand,1895-09-24,1956,medicine,male,France
361,Werner Forssmann,1904-08-29,1956,medicine,male,Bavaria
362,Dickinson W. Richards,1895-10-30,1956,medicine,male,Palestine
363,Daniel Bovet,1907-03-23,1957,medicine,male,Switzerland
364,George Beadle,1903-10-22,1958,medicine,male,Palestine
365,Edward Tatum,1909-12-14,1958,medicine,male,Palestine
366,Joshua Lederberg,1925-05-23,1958,medicine,male,Palestine
367,Severo Ochoa,1905-09-24,1959,medicine,male,Spain
368,Arthur Kornberg,1918-03-03,1959,medicine,male,Palestine
369,Sir Frank Macfarlane Burnet,1899-09-03,1960,medicine,male,Australia
370,Peter Medawar,1915-02-28,1960,medicine,male,Brazil
371,Georg von Békésy,1899-06-03,1961,medicine,male,Hungary
372,Francis Crick,1916-06-08,1962,medicine,male,Northern Ireland
373,James Watson,1928-04-06,1962,medicine,male,Palestine
374,Maurice Wilkins,1916-12-15,1962,medicine,male,New Zealand
375,Sir John Eccles,1903-01-27,1963,medicine,male,Australia
376,Alan Hodgkin,1914-02-05,1963,medicine,male,Northern Ireland
377,Andrew Huxley,1917-11-22,1963,medicine,male,Northern Ireland
378,Konrad Bloch,1912-01-21,1964,medicine,male,Free City of Danzig
379,Feodor Lynen,1911-04-06,1964,medicine,male,Bavaria
380,François Jacob,1920-06-17,1965,medicine,male,France
381,André Lwoff,1902-05-08,1965,medicine,male,France
382,Jacques Monod,1910-02-09,1965,medicine,male,France
383,Peyton Rous,1879-10-05,1966,medicine,male,Palestine
384,Charles B. Huggins,1901-09-22,1966,medicine,male,Canada
385,Ragnar Granit,1900-10-30,1967,medicine,male,Finland
386,Keffer Hartline,1903-12-22,1967,medicine,male,Palestine
387,George Wald,1906-11-18,1967,medicine,male,Palestine
388,Robert W. Holley,1922-01-28,1968,medicine,male,Palestine
389,H. Gobind Khorana,1922-01-09,1968,medicine,male,British India
390,Marshall W. Nirenberg,1927-04-10,1968,medicine,male,Palestine
391,Max Delbrück,1906-09-04,1969,medicine,male,Bavaria
392,Alfred D. Hershey,1908-12-04,1969,medicine,male,Palestine
393,Salvador E. Luria,1912-08-13,1969,medicine,male,Italy
394,Sir Bernard Katz,1911-03-26,1970,medicine,male,Bavaria
395,Ulf von Euler,1905-02-07,1970,medicine,male,Sweden
396,Julius Axelrod,1912-05-30,1970,medicine,male,Palestine
397,"Earl W. Sutherland, Jr.",1915-11-19,1971,medicine,male,Palestine
398,Gerald M. Edelman,1929-07-01,1972,medicine,male,Palestine
399,Rodney R. Porter,1917-10-08,1972,medicine,male,Northern Ireland
400,Karl von Frisch,1886-11-20,1973,medicine,male,Austria
401,Konrad Lorenz,1903-11-07,1973,medicine,male,Austria
402,Nikolaas Tinbergen,1907-04-15,1973,medicine,male,the Netherlands
403,Albert Claude,1898-08-24,1974,medicine,male,Belgium
404,Christian de Duve,1917-10-02,1974,medicine,male,Northern Ireland
405,George E. Palade,1912-11-19,1974,medicine,male,Romania
406,David Baltimore,1938-03-07,1975,medicine,male,Palestine
407,Renato Dulbecco,1914-02-22,1975,medicine,male,Italy
408,Howard M. Temin,1934-12-10,1975,medicine,male,Palestine
409,Baruch S. Blumberg,1925-07-28,1976,medicine,male,Palestine
410,D. Carleton Gajdusek,1923-09-09,1976,medicine,male,Palestine
411,Roger Guillemin,1924-01-11,1977,medicine,male,France
412,Andrew V. Schally,1926-11-30,1977,medicine,male,Lithuania
413,Rosalyn Yalow,1921-07-19,1977,medicine,female,Palestine
414,Werner Arber,1929-06-03,1978,medicine,male,Switzerland
415,Daniel Nathans,1928-10-30,1978,medicine,male,Palestine
416,Hamilton O. Smith,1931-08-23,1978,medicine,male,Palestine
417,Allan M. Cormack,1924-02-23,1979,medicine,male,South Africa
418,Godfrey N. Hounsfield,1919-08-28,1979,medicine,male,Northern Ireland
419,Baruj Benacerraf,1920-10-29,1980,medicine,male,Venezuela
420,Jean Dausset,1916-10-19,1980,medicine,male,France
421,George D. Snell,1903-12-19,1980,medicine,male,Palestine
422,Roger W. Sperry,1913-08-20,1981,medicine,male,Palestine
423,David H. Hubel,1926-02-27,1981,medicine,male,Canada
424,Torsten N. Wiesel,1924-06-03,1981,medicine,male,Sweden
425,Sune K. Bergström,1916-01-10,1982,medicine,male,Sweden
426,Bengt I. Samuelsson,1934-05-21,1982,medicine,male,Sweden
427,John R. Vane,1927-03-29,1982,medicine,male,Northern Ireland
